seq:ID,code,name
802,600533,栖霞建设
803,600535,天士力
804,600572,康恩贝
805,600596,新安股份
806,600606,绿地控股
807,600611,大众交通
808,600614,鹏起科技
809,600679,上海凤凰
810,600728,佳都科技
811,600767,*ST运盛
812,600773,西藏城投
813,600777,新潮能源
814,600784,鲁银投资
815,600787,中储股份
816,600830,香溢融通
817,600851,海欣股份
818,600872,中炬高新
819,601515,东风股份
820,601567,三星医疗
821,601678,滨化股份
822,58,深 赛 格
823,61,农 产 品
824,415,渤海金控
825,419,通程控股
826,421,南京公用
827,592,平潭发展
828,626,远大控股
829,735,罗 牛 山
830,828,东莞控股
831,900,现代投资
832,2120,韵达股份
833,2126,银轮股份
834,2131,利欧股份
835,2133,广宇集团
836,2178,延华智能
837,2183,怡 亚 通
838,2245,澳洋顺昌
839,2250,联化科技
840,2277,友阿股份
841,2285,世联行
842,2344,海宁皮城
843,2404,嘉欣丝绸
844,2418,康盛股份
845,2522,浙江众成
846,2552,宝鼎科技
847,2560,通达股份
848,2575,群兴玩具
849,2600,江粉磁材
850,2615,哈尔斯
851,2624,完美世界
852,2634,棒杰股份
853,2653,海思科
854,300079,数码科技
855,300178,腾邦国际
856,600161,天坛生物
857,600166,福田汽车
858,600184,光电股份
859,600242,中昌数据
860,600597,光明乳业
861,600612,老凤祥
862,600681,百川能源
863,600760,中航黑豹
864,600869,智慧能源
865,601018,宁波港
866,601339,百隆东方
867,601808,中海油服
868,603167,渤海轮渡
869,1,平安银行
870,561,烽火电子
871,564,供销大集
872,639,西王食品
873,686,东北证券
874,732,泰禾集团
875,883,湖北能源
876,2371,北方华创
877,2467,二六三
878,2468,申通快递
879,2469,三维工程
880,2470,金正大
881,2471,中超控股
882,2472,双环传动
883,2473,*ST圣莱
884,2474,榕基软件
885,2475,立讯精密
886,2476,宝莫股份
887,2477,雏鹰农牧
888,2478,常宝股份
889,2479,富春环保
890,2480,新筑股份
891,2481,双塔食品
892,2482,广田集团
893,2483,润邦股份
894,2484,江海股份
895,2617,露笑科技
896,2649,博彦科技
897,2658,雪迪龙
898,2663,普邦股份
899,2665,首航节能
900,2695,煌上煌
901,2696,百洋股份
902,2697,红旗连锁
903,2698,博实股份
904,2699,美盛文化
905,2700,新疆浩源
906,300115,长盈精密
907,300116,坚瑞沃能
908,300117,嘉寓股份
909,300118,东方日升
